ID,parents,has_nurs,form,children,housing,finance,social,health,app_status
1,usual,less_proper,complete,3,critical,convenient,problematic,not_recom,0
2,pretentious,very_crit,completed,1,convenient,inconv,nonprob,not_recom,0
3,pretentious,proper,incomplete,1,less_conv,convenient,slightly_prob,priority,1
4,great_pret,improper,complete,1,convenient,convenient,nonprob,recommended,1
5,great_pret,less_proper,completed,1,convenient,convenient,slightly_prob,priority,1
6,great_pret,very_crit,foster,1,convenient,inconv,slightly_prob,not_recom,0
7,great_pret,improper,complete,more,convenient,convenient,problematic,not_recom,0
8,pretentious,very_crit,foster,1,critical,convenient,nonprob,priority,0
9,usual,very_crit,incomplete,3,critical,inconv,problematic,not_recom,0
10,great_pret,critical,completed,3,convenient,inconv,slightly_prob,not_recom,0
11,great_pret,very_crit,complete,3,critical,inconv,problematic,priority,0
12,great_pret,proper,complete,3,critical,convenient,slightly_prob,priority,0
13,usual,less_proper,incomplete,1,convenient,convenient,slightly_prob,priority,1
14,pretentious,very_crit,foster,2,critical,convenient,problematic,priority,0
15,usual,improper,complete,2,convenient,inconv,problematic,priority,1
16,great_pret,very_crit,complete,1,convenient,convenient,problematic,not_recom,0
17,great_pret,less_proper,incomplete,1,convenient,convenient,slightly_prob,priority,1
18,pretentious,very_crit,incomplete,1,less_conv,convenient,nonprob,not_recom,0
19,usual,less_proper,completed,1,critical,inconv,slightly_prob,recommended,1
20,great_pret,proper,completed,2,convenient,inconv,nonprob,priority,1
21,usual,less_proper,complete,1,convenient,inconv,slightly_prob,priority,1
22,great_pret,proper,complete,1,critical,convenient,nonprob,recommended,1
23,pretentious,very_crit,complete,2,convenient,inconv,slightly_prob,not_recom,0
24,pretentious,less_proper,foster,2,less_conv,inconv,problematic,not_recom,0
25,pretentious,improper,incomplete,1,critical,inconv,nonprob,recommended,1
26,great_pret,very_crit,complete,2,critical,inconv,problematic,not_recom,0
27,pretentious,proper,foster,2,critical,inconv,slightly_prob,recommended,1
28,great_pret,improper,foster,1,less_conv,convenient,problematic,recommended,0
29,usual,critical,completed,2,critical,convenient,nonprob,priority,0
30,pretentious,critical,complete,more,convenient,convenient,nonprob,recommended,1
31,great_pret,improper,complete,more,critical,convenient,slightly_prob,recommended,0
32,pretentious,proper,completed,3,convenient,convenient,slightly_prob,not_recom,0
33,great_pret,less_proper,complete,3,less_conv,convenient,problematic,priority,0
34,usual,improper,completed,more,critical,inconv,problematic,priority,1
35,usual,very_crit,complete,1,less_conv,convenient,nonprob,priority,0
36,usual,improper,completed,1,convenient,convenient,slightly_prob,recommended,1
37,usual,improper,foster,more,critical,convenient,slightly_prob,not_recom,0
38,usual,less_proper,foster,1,convenient,inconv,problematic,not_recom,0
39,great_pret,very_crit,incomplete,2,critical,inconv,slightly_prob,recommended,0
40,pretentious,critical,completed,3,critical,inconv,problematic,priority,0
41,great_pret,very_crit,completed,1,convenient,inconv,problematic,recommended,0
42,pretentious,proper,completed,2,critical,convenient,problematic,recommended,1
43,pretentious,improper,incomplete,1,critical,convenient,nonprob,not_recom,0
44,pretentious,proper,complete,1,less_conv,convenient,slightly_prob,not_recom,0
45,usual,less_proper,completed,3,less_conv,inconv,problematic,recommended,1
46,great_pret,improper,completed,1,less_conv,inconv,problematic,recommended,0
47,great_pret,less_proper,foster,3,less_conv,convenient,nonprob,recommended,1
48,great_pret,improper,completed,2,critical,convenient,nonprob,recommended,0
49,usual,critical,completed,1,critical,inconv,slightly_prob,priority,0
50,pretentious,less_proper,complete,more,critical,inconv,problematic,not_recom,0
51,great_pret,less_proper,completed,more,convenient,convenient,slightly_prob,not_recom,0
52,usual,proper,incomplete,2,critical,convenient,slightly_prob,recommended,1
53,usual,less_proper,complete,more,critical,convenient,problematic,recommended,1
54,pretentious,less_proper,completed,3,convenient,inconv,slightly_prob,priority,1
55,pretentious,very_crit,incomplete,1,convenient,convenient,slightly_prob,not_recom,0
56,pretentious,less_proper,foster,1,convenient,convenient,slightly_prob,not_recom,0
57,pretentious,less_proper,foster,1,less_conv,inconv,nonprob,not_recom,0
58,pretentious,improper,completed,2,less_conv,convenient,nonprob,recommended,1
59,pretentious,less_proper,completed,2,critical,convenient,nonprob,recommended,1
60,great_pret,proper,foster,1,less_conv,inconv,slightly_prob,priority,0
61,pretentious,critical,incomplete,3,critical,convenient,slightly_prob,not_recom,0
62,great_pret,proper,incomplete,2,critical,inconv,slightly_prob,recommended,1
63,usual,improper,complete,2,convenient,convenient,problematic,not_recom,0
64,great_pret,very_crit,complete,1,convenient,convenient,slightly_prob,not_recom,0
65,great_pret,less_proper,completed,3,convenient,convenient,nonprob,not_recom,0
66,pretentious,proper,incomplete,more,less_conv,convenient,problematic,recommended,1
67,usual,proper,incomplete,1,less_conv,inconv,slightly_prob,not_recom,0
68,pretentious,very_crit,complete,more,critical,convenient,nonprob,priority,0
69,great_pret,proper,foster,2,critical,inconv,slightly_prob,priority,0
70,usual,very_crit,completed,more,less_conv,inconv,nonprob,priority,0
71,great_pret,proper,foster,1,critical,convenient,nonprob,priority,0
72,pretentious,very_crit,incomplete,2,convenient,inconv,slightly_prob,priority,0
73,usual,improper,complete,more,convenient,convenient,slightly_prob,priority,1
74,usual,critical,incomplete,2,less_conv,convenient,slightly_prob,priority,0
75,great_pret,improper,complete,3,convenient,inconv,problematic,recommended,0
76,usual,very_crit,incomplete,2,critical,inconv,nonprob,not_recom,0
77,pretentious,improper,foster,more,less_conv,convenient,nonprob,recommended,1
78,great_pret,less_proper,incomplete,more,critical,convenient,slightly_prob,not_recom,0
79,pretentious,improper,foster,2,convenient,inconv,slightly_prob,priority,0
80,usual,less_proper,incomplete,1,less_conv,inconv,slightly_prob,priority,1
81,great_pret,proper,complete,3,convenient,convenient,nonprob,recommended,1
82,pretentious,very_crit,foster,2,convenient,convenient,nonprob,recommended,1
83,great_pret,critical,complete,more,convenient,inconv,slightly_prob,not_recom,0
84,pretentious,improper,completed,more,critical,inconv,nonprob,priority,0
85,pretentious,critical,complete,2,less_conv,inconv,nonprob,priority,0
86,great_pret,critical,foster,1,convenient,inconv,slightly_prob,priority,0
87,great_pret,less_proper,complete,more,critical,inconv,nonprob,not_recom,0
88,usual,proper,foster,more,critical,inconv,nonprob,not_recom,0
89,pretentious,improper,foster,2,convenient,inconv,slightly_prob,recommended,1
90,great_pret,very_crit,foster,3,convenient,inconv,nonprob,not_recom,0
91,great_pret,proper,incomplete,3,convenient,convenient,nonprob,priority,1
92,great_pret,critical,complete,3,less_conv,convenient,problematic,not_recom,0
93,usual,proper,completed,2,critical,inconv,nonprob,recommended,1
94,usual,proper,foster,2,less_conv,inconv,slightly_prob,recommended,1
95,pretentious,improper,completed,1,convenient,convenient,problematic,not_recom,0
96,pretentious,proper,incomplete,3,critical,inconv,nonprob,priority,1
97,pretentious,proper,foster,2,less_conv,inconv,nonprob,priority,1
98,usual,improper,incomplete,more,convenient,convenient,problematic,priority,1
99,great_pret,proper,foster,2,convenient,inconv,problematic,priority,0
100,great_pret,critical,incomplete,1,critical,convenient,slightly_prob,not_recom,0
